id,english,es,cefr_level,pos,frequency_1to10
a_preposition,to/at,a,A1,preposition,1
a_bocajarro_adverb,point-blank,a bocajarro,B2,adverb,6
a_causa_de_adverb,because of,a causa de,A2,adverb,2
a_continuación_adverb,next,a continuación,A2,adverb,3
a_corto_plazo_adverb,in the short term,a corto plazo,B1,adverb,4
a_costa_de_adverb,at the cost of,a costa de,B1,adverb,4
a_destiempo_adverb,at the wrong time,a destiempo,B2,adverb,4
a_diferencia_de_adverb,unlike,a diferencia de,B1,adverb,5
a_distancia_phrase,online,a distancia,B1,phrase,4
a_domicilio_phrase,delivery,a domicilio,B1,phrase,5
a_duras_penas_adverb,barely,a duras penas,B2,adverb,6
a_dónde_phrase,where,a dónde,B1,phrase,2
a_efectos_de_adverb,for the purposes of,a efectos de,B2,adverb,5
a_escala_de_adverb,at a scale of,a escala de,B2,adverb,5
a_escondidas_phrase,in secret,a escondidas,B1,phrase,5
a_eso_de_phrase,around,a eso de,B1,phrase,3
a_estas_alturas_adverb,at this point,a estas alturas,B1,adverb,3
a_este_paso_phrase,at this rate,a este paso,B1,phrase,4
a_expensas_de_adverb,at the expense of,a expensas de,B2,adverb,6
a_fin_de_adverb,after all,a fin de cuentas,B2,adverb,2
a_fondo_adverb,thoroughly,a fondo,B1,adverb,6
a_grandes_rasgos_adverb,broadly speaking,a grandes rasgos,B2,adverb,7
a_gusto_phrase,comfortable,a gusto,B1,phrase,5
a_horcajadas_adverb,astride,a horcajadas,B2,adverb,9
a_la_larga_phrase,In the long run,a la larga,B1,phrase,4
a_la_luz_adverb,in light of,a la luz de,B2,adverb,4
a_la_par_adverb,at the same time as,a la par que,B2,adverb,3
a_la_perfección_phrase,perfectly,a la perfección,B1,phrase,5
a_la_vez_adverb,at the same time,a la vez,A2,adverb,3
a_largo_plazo_adverb,in the long run,a largo plazo,B1,adverb,4
a_lo_largo_adverb,throughout,a lo largo de,B1,adverb,5
a_lo_largo_del_phrase,along,a lo largo del,B1,phrase,4
a_lo_largo_adverb__dup1,over time,a lo largo del tiempo,B1,adverb,2
a_lo_lejos_adverb,in the distance,a lo lejos,B1,adverb,5
a_lo_mejor_phrase,maybe,a lo mejor,B1,phrase,4
a_medias_adverb,halfway,a medias,B1,adverb,6
a_medida_que_adverb,as,a medida que,B1,adverb,2
a_medio_plazo_adverb,in the medium term,a medio plazo,B1,adverb,5
a_menos_que_phrase,unless,a menos que,B1,phrase,5
a_menudo_adverb,often,a menudo,A2,adverb,4
a_modo_de_adverb,by way of example,a modo de ejemplo,B2,adverb,4
a_mí_phrase,me,a mí,B1,phrase,2
a_no_ser_adverb,unless,a no ser que,B2,adverb,5
a_nosotros_phrase,us,a nosotros,B1,phrase,2
a_partir_de_adverb,from,a partir de,B1,adverb,2
a_pesar_de_phrase,despite,a pesar de,B1,phrase,4
a_pesar_de_adverb__dup1,despite this,a pesar de ello,B2,adverb,4
a_pesar_de_adverb,despite everything,a pesar de todo,B1,adverb,4
a_primera_hora_phrase,first thing,a primera hora,B1,phrase,3
a_primera_vista_adverb,at first sight,a primera vista,B1,adverb,5
a_propósito_adverb,on purpose,a propósito,B1,adverb,5
a_propósito_de_adverb,on the subject of,a propósito de,B2,adverb,5
a_prueba_de_adjective,bulletproof,a prueba de balas,B2,adjective,8
a_punto_de_phrase,about to,a punto de,B1,phrase,2
a_que_no_phrase,I bet,a que no,B1,phrase,5
a_quemarropa_adverb,point-blank,a quemarropa,B2,adverb,6
a_quién_phrase,whom,a quién,B1,phrase,5
a_qué_distancia_phrase,how far,a qué distancia,B1,phrase,3
a_qué_hora_phrase,when,a qué hora,B1,phrase,2
a_razón_de_adverb,at the rate of,a razón de,B2,adverb,4
a_raíz_de_adverb,as a result of,a raíz de,B2,adverb,4
a_regañadientes_adverb,reluctantly,a regañadientes,B2,adverb,8
a_saber_adverb,namely,a saber,B2,adverb,6
a_saber_que_adverb,wit,a saber que,B2,adverb,7
a_salvo_phrase,safe,a salvo,B1,phrase,4
a_simple_vista_adverb,at a glance,a simple vista,B1,adverb,7
a_tenor_de_adverb,in light of,a tenor de,B2,adverb,4
a_ti_phrase,you,a ti,B1,phrase,2
a_tiempo_adverb,on time,a tiempo,A2,adverb,2
a_toda_costa_phrase,at all costs,a toda costa,B1,phrase,5
a_todas_luces_adverb,obviously,a todas luces,B2,adverb,5
a_todo_volumen_phrase,at full blast,a todo volumen,B1,phrase,6
a_trancas_y_adverb,with great difficulty,a trancas y barrancas,B2,adverb,6
a_través_de_adverb,through,a través de,A2,adverb,3
a_través_del_phrase,through,a través del,B1,phrase,3
a_título_colectivo_adverb,in a collective capacity,a título colectivo,B2,adverb,6
a_título_personal_adverb,in a personal capacity,a título personal,B2,adverb,5
a_veces_adverb,sometimes,a veces,A1,adverb,4
a_ver_si_phrase,let's hope,a ver si,B1,phrase,4
a_él_phrase,he,a él,B1,phrase,2
a_última_hora_adverb,at the last minute,a última hora,B1,adverb,5
abajo_adverb,down/below,abajo,A2,adverb,3
abastecerse_verb,to stock up,abastecerse,B2,verb,5
abastecimiento_noun,supply,abastecimiento,B1,noun,5
abdicar_verb,to abdicate,abdicar,B2,verb,9
abdominales_noun,abs/abdominal muscles,abdominales,B1,noun,7
abeja_reina_noun,queen bee,abeja reina,B2,noun,6
abiertamente_adverb,openly,abiertamente,B1,adverb,6
abierto_adjective,open,abierto,A2,adjective,4
abismo_noun,abyss,abismo,B2,noun,8
abogada_noun,lawyer,abogada,A2,noun,5
abogado_noun,lawyer,abogado,A2,noun,5
abolir_verb,to abolish,abolir,B2,verb,8
abonar_verb,to fertilize/pay,abonar,B2,verb,9
abono_noun,fertilizer,abono,B1,noun,8
abono_transporte_noun,transport pass,abono transporte,B1,noun,5
abordar_verb,to approach/board,abordar,B2,verb,5
abortar_verb,to abort,abortar,B2,verb,8
abras_adjective,open up,abras,A2,adjective,4
abrazar_verb,to hug,abrazar,A2,verb,6
abrazo_noun,hug,abrazo,A2,noun,6
abrelatas_noun,can opener,abrelatas,B1,noun,7
abrigo_noun,coat,abrigo,A2,noun,6
abril_noun,April,abril,A1,noun,4
abrir_verb,to open,abrir,A1,verb,4
absentismo_noun,absenteeism,absentismo,B2,noun,9
absolutamente_adverb,absolutely,absolutamente,A2,adverb,5
absorber_verb,to absorb,absorber,B2,verb,7
abstenerse_verb,to abstain,abstenerse,B2,verb,8
abstracto_adjective,abstract,abstracto,B1,adjective,6
abstraer_verb,to abstract,abstraer,B2,verb,6
absurdo_adjective,absurd,absurdo,B2,adjective,7
abuela_noun,grandmother,abuela,A1,noun,6
abuelito_noun,grandpa,abuelito,B1,noun,7
abuelo_noun,grandfather,abuelo,A1,noun,6
aburrido_adjective,boring,aburrido,A2,adjective,6
aburrir_verb,to bore,aburrir,A2,verb,7
aburrirse_verb,to get bored,aburrirse,A2,verb,6
abusar_verb,to abuse,abusar,B2,verb,5
acabado_adjective,finished,acabado,A2,adjective,5
acaban_de_phrase,they have just,acaban de,B1,phrase,2
acabar_verb,to finish/end,acabar,A2,verb,5
academia_noun,academy,academia,B1,noun,5
acampar_verb,to camp,acampar,A2,verb,5
acantilado_noun,cliff,acantilado,B1,noun,6
acaparar_verb,to hoard,acaparar,B2,verb,8
acariciar_verb,to caress,acariciar,B2,verb,9
acarrear_verb,to carry/cause,acarrear,B2,verb,5
acaso_adverb,perhaps,acaso,B2,adverb,4
acatar_verb,to obey,acatar,B2,verb,7
acceder_verb,to access/agree,acceder,B2,verb,4
accesibilidad_universal_noun,universal accessibility,accesibilidad universal,B2,noun,7
accesible_adjective,accessible,accesible,B1,adjective,6
acceso_noun,entrance,acceso,A2,noun,6
acceso_directo_noun,shortcut,acceso directo,B1,noun,8
acceso_remoto_noun,remote access,acceso remoto,B2,noun,6
accesorio_adjective,accessory,accesorio,B1,adjective,7
accidental_adjective,accidental,accidental,B1,adjective,7
accidente_noun,accident,accidente,A2,noun,5
accionariado_noun,shareholders,accionariado,B2,noun,7
accionista_noun,shareholder,accionista,B2,noun,7
accion_noun,action,acción,A2,noun,4
aceite_noun,oil,aceite,A2,noun,4
aceite_de_oliva_noun,olive oil,aceite de oliva,A2,noun,6
aceitera_noun,oil cruet,aceitera,B1,noun,10
aceituna_noun,olive,aceituna,A2,noun,6
aceleración_noun,acceleration,aceleración,B1,noun,7
acelerado_adjective,accelerated,acelerado,B1,adjective,7
acelerador_noun,gas pedal,acelerador,B1,noun,7
acelerar_verb,to accelerate,acelerar,B2,verb,7
acelga_noun,chard,acelga,B1,noun,9
acento_noun,accent,acento,A2,noun,6
acentuar_verb,to accentuate,acentuar,B2,verb,9
aceptable_adjective,adequate,aceptable,B1,adjective,6
aceptación_noun,acceptance,aceptación,B1,noun,6
aceptar_verb,to accept,aceptar,A1,verb,5
acera_noun,sidewalk,acera,A2,noun,7
acerca_de_preposition,about,acerca de,B1,preposition,2
acercarse_verb,to approach,acercarse,A2,verb,5
acertado_adjective,right,acertado,B1,adjective,3
aclamar_verb,to acclaim,aclamar,B2,verb,8
aclarar_verb,to clarify,aclarar,A2,verb,7
acogedor_noun,welcoming,acogedor,B1,noun,7
acoger_verb,to welcome/host,acoger,B2,verb,5
acogida_noun,foster care,acogida,B2,noun,6
acomodar_verb,to accommodate,acomodar,B2,verb,6
acompañado_adjective,accompanied,acompañado,A2,adjective,6
acompañar_verb,to accompany,acompañar,A2,verb,7
acondicionador_noun,conditioner,acondicionador,B1,noun,8
acondicionar_verb,to condition,acondicionar,B2,verb,5
aconsejar_verb,to advise,aconsejar,A2,verb,6
acontecimiento_noun,event,acontecimiento,B1,noun,4
acoplar_verb,to couple,acoplar,B2,verb,4
acordar_verb,to agree,acordar,B2,verb,5
acorde_noun,chord,acorde,B1,noun,7
acordeón_noun,accordion,acordeón,B2,noun,8
acorralar_verb,to corner,acorralar,B2,verb,5
acosar_verb,to harass,acosar,B2,verb,8
acoso_noun,harassment,acoso,B2,noun,6
acoso_escolar_noun,bullying,acoso escolar,B1,noun,7
acoso_laboral_noun,workplace harassment,acoso laboral,B2,noun,6
acostarse_verb,to lie down/go to bed,acostarse,A2,verb,5
acostumbrar_verb,to accustom (someone to something),acostumbrar,B1,verb,9
acreditación_noun,accreditation,acreditación,B2,noun,7
acreditar_verb,to accredit,acreditar,B2,verb,9
acrílico_noun,acrylic,acrílico,B2,noun,8
acróbata_noun,acrobat,acróbata,B1,noun,9
acta_noun,minutes,acta,B2,noun,4
acta_de_reunión_noun,meeting minutes,acta de reunión,B2,noun,4
actitud_noun,attitude,actitud,A2,noun,5
actividad_noun,activity,actividad,B1,noun,5
activismo_noun,activism,activismo,B2,noun,7
activista_climático_noun,climate activist,activista climático,B2,noun,6
activo_adjective,active,activo,A2,adjective,5
acto_noun,act,acto,A2,noun,4
actor_noun,actor,actor,A2,noun,5
actriz_noun,actress,actriz,A2,noun,6
actuación_noun,performance,actuación,B1,noun,4
actual_adjective,current,actual,A2,adjective,4
actualidad_noun,actuality,actualidad,B2,noun,8
actualización_noun,update,actualización,A2,noun,5
actualización_de_sistema_noun,system update,actualización de sistema,B1,noun,5
actualizado_adjective,updated,actualizado,A2,adjective,5
actualizar_verb,to update,actualizar,B1,verb,5
actualmente_adverb,currently,actualmente,A2,adverb,4
actuar_verb,to act,actuar,A2,verb,4
actuario_noun,actuary,actuario,B2,noun,9
acuarela_noun,watercolor,acuarela,B1,noun,8
acuario_noun,aquarium,acuario,B1,noun,7
acuerdo_noun,agreement,acuerdo,B1,noun,5
acuicultura_noun,aquaculture,acuicultura,B2,noun,8
acumular_verb,to accumulate,acumular,B2,verb,8
acupuntura_noun,acupuncture,acupuntura,B2,noun,8
acusar_verb,to accuse,acusar,B2,verb,7
acuático_adjective,water,acuático,B1,adjective,3
acuífero_noun,aquifer,acuífero,B2,noun,9
acuñar_verb,to coin,acuñar,B2,verb,6
acá_noun,here,acá,A2,noun,3
acústico_adjective,acoustic,acústico,B2,adjective,7
adaptador_noun,adaptor,adaptador,B1,noun,9
adaptar_verb,to adapt,adaptar,B1,verb,7
adecuado_adjective,adequate,adecuado,B1,adjective,6
adecuar_verb,to adapt,adecuar,B2,verb,7
adelantado_adjective,ahead,adelantado,B1,adjective,4
adelantar_verb,to advance,adelantar,B2,verb,5
adelgazar_verb,to lose weight,adelgazar,B2,verb,4
ademas_adverb,besides/moreover,además,A2,adverb,5
además_de_adverb,in addition to,además de,B1,adverb,4
adentro_noun,inside,adentro,B1,noun,4
adherir_verb,to adhere,adherir,B2,verb,7
adicional_noun,add,adicional,B1,noun,4
adicionalmente_adverb,in addition,adicionalmente,B1,adverb,4
adicionar_verb,to add,adicionar,B2,verb,4
aditivo_noun,additive,aditivo,B2,noun,8
adivinar_verb,to guess,adivinar,A2,verb,4
adios_interjection,goodbye,adiós,A1,interjection,6
adjudicación_noun,award,adjudicación,B2,noun,5
administración_noun,running,administración,B1,noun,4
administración_de_empresas_noun,business administration,administración de empresas,B1,noun,5
administrar_verb,to administer,administrar,B2,verb,7
administrativo_adjective,administrative,administrativo,B1,adjective,6
admiración_noun,admiration,admiración,B1,noun,7
admirar_verb,to admire,admirar,A2,verb,7
admitir_verb,to admit,admitir,B1,verb,5
adobo_noun,marinade,adobo,B1,noun,9
adolescencia_noun,adolescence,adolescencia,B1,noun,8
adolescente_noun,teenager,adolescente,A2,noun,6
adolorido_noun,sore,adolorido,B1,noun,7
adopción_noun,adoption,adopción,B2,noun,6
adorar_verb,to adore,adorar,B2,verb,7
adornar_verb,to adorn,adornar,B2,verb,8
adosado_noun,townhouse,adosado,A2,noun,8
adquirir_verb,to acquire,adquirir,B2,verb,6
adrenalina_noun,adrenaline,adrenalina,B1,noun,7
adscribir_verb,to assign,adscribir,B2,verb,7
aduana_noun,customs,aduana,A2,noun,6
adueñarse_verb,to take possession,adueñarse,B2,verb,6
adular_verb,to flatter,adular,B2,verb,8
adulterar_verb,to adulterate,adulterar,B2,verb,10
adulto_noun,adult,adulto,A2,noun,5
advertir_verb,to warn/notice,advertir,B1,verb,6
adónde_noun,where,adónde,A2,adverb,2
aerolínea_noun,airline,aerolínea,A2,noun,6
aeropuerto_noun,airport,aeropuerto,A2,noun,5
aerosol_noun,spray paint,aerosol,B1,noun,6
afanar_verb,to toil/steal,afanar,B2,verb,8
afear_verb,to make ugly,afear,B2,verb,6
afectar_verb,to affect,afectar,B1,verb,5
afecto_noun,affection,afecto,B1,noun,7
afeitadora_eléctrica_noun,electric razor,afeitadora eléctrica,B1,noun,7
afeitarse_verb,to shave,afeitarse,A2,verb,7
aferrar_verb,to grasp,aferrar,B2,verb,7
afianzar_verb,to strengthen,afianzar,B2,verb,6
aficionar_verb,to make fond of,aficionar,B2,verb,7
aficion_noun,hobby/interest,afición,A2,noun,7
afilado_adjective,sharp,afilado,B1,adjective,6
afilar_verb,to sharpen,afilar,B2,verb,8
afiliarse_verb,to affiliate,afiliarse,B2,verb,7
afinador_noun,tuner,afinador,B2,noun,9
afinar_verb,to tune,afinar,B2,verb,6
afirmacion_noun,statement,afirmación,B1,noun,5
afirmar_verb,to affirm,afirmar,B2,verb,8
afligir_verb,to afflict,afligir,B2,verb,9
aflojar_verb,to loosen,aflojar,B2,verb,8
aflorar_verb,to emerge,aflorar,B2,verb,7
afluente_noun,tributary,afluente,B2,noun,8
afluir_verb,to flow into,afluir,B2,verb,5
aforo_noun,capacity,aforo,B2,noun,5
afortunadamente_adverb,fortunately,afortunadamente,B1,adverb,7
afortunado_noun,lucky,afortunado,B1,noun,5
afrontar_verb,to confront,afrontar,B2,verb,7
afuera_noun,outside,afuera,A2,adverb,4
agachar_verb,to lower,agachar,B2,verb,4
agarrar_verb,to grab,agarrar,B1,verb,5
agencia_noun,dealership,agencia,B1,noun,8
agencia_de_noticias_noun,news agency,agencia de noticias,B2,noun,5
agencia_de_publicidad_noun,advertising agency,agencia de publicidad,B2,noun,5
agencia_inmobiliaria_noun,real estate agency,agencia inmobiliaria,B1,noun,5
agenda_noun,agenda,agenda,A2,noun,6
agente_noun,agent,agente,B1,noun,5
agente_inmobiliario_noun,real estate agent,agente inmobiliario,B1,noun,5
aglomerado_noun,chipboard,aglomerado,B2,noun,10
aglomerar_verb,to agglomerate,aglomerar,B2,verb,10
agobiar_verb,to overwhelm,agobiar,B2,verb,8
agosto_noun,August,agosto,A1,noun,4
agotado_adjective,exhausted,agotado,A2,adjective,6
agotador_noun,exhausting,agotador,B1,noun,7
agotar_verb,to exhaust,agotar,B2,verb,7
agradable_adjective,pleasant,agradable,A2,adjective,6
agradecer_verb,to thank,agradecer,A2,verb,4
agradecerle_noun,thank her,agradecerle,B1,verb,4
agradecido_adjective,grateful,agradecido,A2,adjective,6
agradezco_noun,appreciate,agradezco,B1,noun,5
agrandar_verb,to enlarge,agrandar,B2,verb,8
agravar_verb,to aggravate,agravar,B2,verb,9
agraviar_verb,to offend,agraviar,B2,verb,7
agredir_verb,to assault,agredir,B2,verb,6
agregar_verb,to add,agregar,B1,verb,4
agregué_noun,added,agregué,B1,noun,4
agresivo_adjective,aggressive,agresivo,B1,adjective,6
agresión_noun,assault,agresión,B2,noun,6
agricultor_noun,farmer,agricultor,B1,noun,6
agricultura_noun,agriculture,agricultura,B1,noun,6
agricultura_ecológica_noun,organic farming,agricultura ecológica,B2,noun,6
agricultura_intensiva_noun,intensive farming,agricultura intensiva,B2,noun,6
agrio_noun,sharp,agrio,A2,adjective,6
agrupar_verb,to group,agrupar,B2,verb,3
agricola_adjective,agricultural,agrícola,B1,adjective,6
agua_noun,water,agua,A1,noun,3
agua_mineral_noun,mineral water,agua mineral,A2,noun,6
agua_termal_noun,thermal water,agua termal,B1,noun,6
aguacate_noun,avocado,aguacate,B1,noun,8
aguacero_noun,shower,aguacero,B1,noun,5
aguamarina_adjective,aquamarine,aguamarina,B2,adjective,9
aguantar_verb,to endure,aguantar,B2,verb,7
aguardar_verb,to await,aguardar,B2,verb,7
agudizar_verb,to sharpen,agudizar,B2,verb,8
agudo_adjective,acute,agudo,B2,adjective,6
agujero_noun,hole,agujero,B1,noun,5
agujetas_noun,muscle soreness,agujetas,B1,noun,8
ah_noun,ah,ah,A2,interjection,5
ahijada_noun,goddaughter,ahijada,B1,noun,9
ahondar_verb,to deepen,ahondar,B2,verb,8
ahora_adverb,now,ahora,A1,adverb,2
ahora_mismo_phrase,right now,ahora mismo,B1,phrase,3
ahora_o_nunca_adverb,now or never,ahora o nunca,B1,adverb,3
ahorcar_verb,to hang,ahorcar,B2,verb,5
ahorrar_verb,to save (money),ahorrar,A2,verb,4
ahorro_noun,savings,ahorro,A2,noun,6
ahumado_adjective,smoked,ahumado,B1,adjective,7
